,location,name
0,Bank Nifty down on Monday.png,Bank Nifty down on Monday
1,Nifty Gap Up.png,Nifty Gap Up
2,VIX rises by more than 2 points on a Monday.webp,VIX rises by more than 2 points on a Monday
3,Bank Nifty Down 3 or more days.png,Bank Nifty Down 3 or more days
4,Nifty 20 DMA.png,Nifty 20 DMA
5,Bank Nifty 20 Day High on preopex.webp,Bank Nifty 20 Day High on preopex
6,5 day high Nifty on pre-opex.webp,5 day high Nifty on pre-opex
7,Nifty Fin Year.webp,Nifty Fin Year
8,5 Day low Bank Nifty on pre-opex.webp,5 Day low Bank Nifty on pre-opex
9,Bank Nifty HV(20) & HV(250).webp,Bank Nifty HV(20) & HV(250)
10,New Year Nifty.webp,New Year Nifty
11,Xmas Anomaly.webp,Xmas Anomaly
12,Monday Strangle Bank Nifty.webp,Monday Strangle Bank Nifty
13,When Bank Nifty Index is up on a Monday.webp,When Bank Nifty Index is up on a Monday
14,Nifty Option path in Q1.webp,Nifty Option path in Q1
15,Nifty 1 DOM .webp,Nifty 1 DOM 
16,Short CE & Long CE Nifty.webp,Short CE & Long CE Nifty
17,BUDGET DAY STRADDLE NIFTY.webp,BUDGET DAY STRADDLE NIFTY
18,Bank Nifty up on 1st trading day of the month.webp,Bank Nifty up on 1st trading day of the month
19,Nifty TOTM Variant.webp,Nifty TOTM Variant
20,Bank Nifty up on Monday.webp,Bank Nifty up on Monday
21,When Bank Nifty Down on Friday.webp,When Bank Nifty Down on Friday
22,Bank Nifty 1 Std. Dev and HV.png,Bank Nifty 1 Std
23,Bank Nifty least in the 5 days on Friday.webp,Bank Nifty least in the 5 days on Friday
24,When Nifty is up by more than 1% on the first day of the new opex series.webp,When Nifty is up by more than 1% on the first day of the new opex series
25,Bank Nifty FOMC.webp,Bank Nifty FOMC
26,Bank Nifty weekly Strangle Post RBI.webp,Bank Nifty weekly Strangle Post RBI
27,November December Nifty.webp,November December Nifty
28,long weekend.webp,long weekend
29,Bank Nifty HV(20) < HV(250) v2.webp,Bank Nifty HV(20) < HV(250) v2
30,Jul Anomaly Nifty.webp,Jul Anomaly Nifty
31,BUDGET DAY STRANGLE NIFTY.webp,BUDGET DAY STRANGLE NIFTY
32,Bank Nifty on 10 Day Low on Pre-opex.webp,Bank Nifty on 10 Day Low on Pre-opex
33,VIX and Nifty up for 2 days in row.webp,VIX and Nifty up for 2 days in row
34,Bank NIfty 10 day low with 20 Delta.webp,Bank NIfty 10 day low with 20 Delta
35,Bank Nifty Lower Bollinger Band.png,Bank Nifty Lower Bollinger Band
36,When Bank Nifty Index is up on a Tuesday.webp,When Bank Nifty Index is up on a Tuesday
37,250 Day High Bank Nifty.webp,250 Day High Bank Nifty
38,Nifty Diwali Year End.webp,Nifty Diwali Year End
39,"Short Bank Nifty ATM PE , when Bank Nifty closes at 20 day highest close.png","Short Bank Nifty ATM PE , when Bank Nifty closes at 20 day highest close"
40,Nifty TOTM Option Trade Idea.webp,Nifty TOTM Option Trade Idea
41,Bank Nifty down for 2 days Strangle.webp,Bank Nifty down for 2 days Strangle
42,35 Calendar Days or more Nifty.webp,35 Calendar Days or more Nifty
43,Bank Nifty TOTM.webp,Bank Nifty TOTM
44,Bank Nifty 2 Std. Dev.png,Bank Nifty 2 Std
45,Bank Nifty CPI Data.webp,Bank Nifty CPI Data
